ref_frequency_thz,ref_amplitude,ref_phase,sample_frequency_thz,sample_amplitude,sample_phase,phase_offset,phase_diff
3.4,2.60351e-05,2368.59399,3.4,5.66248e-06,2478.21945,60.8841,48.74135
3.41111,2.59584e-05,2376.34165,3.41111,5.44019e-06,2486.40078,61.083,48.97614
3.42222,2.58879e-05,2384.09057,3.42222,5.2369e-06,2494.59217,61.282,49.2196
3.43333,2.58256e-05,2391.84082,3.43333,5.06047e-06,2502.79326,61.481,49.47144
3.44444,2.57724e-05,2399.59238,3.44444,4.91791e-06,2511.00305,61.6799,49.73078
3.45556,2.57288e-05,2407.34517,3.45556,4.81458e-06,2519.2198,61.8789,49.99573
3.46667,2.5694e-05,2415.09905,3.46667,4.75332e-06,2527.44109,62.0779,50.26415
3.47778,2.56661e-05,2422.85383,3.47778,4.73386e-06,2535.66415,62.2768,50.53351
3.48889,2.56419e-05,2430.6093,3.48889,4.7527e-06,2543.88617,62.4758,50.80107
3.5,2.56171e-05,2438.36518,3.5,4.80349e-06,2552.10473,62.6748,51.06475
3.51111,2.5586e-05,2446.12121,3.51111,4.87789e-06,2560.31802,62.8737,51.32311
3.52222,2.55419e-05,2453.87711,3.52222,4.96649e-06,2568.52491,63.0727,51.5751
