frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
1.55556,3.10626,0.22784,9.59697,1.41545,122.49113,118.22451
1.56667,3.10758,0.22466,9.60658,1.3963,121.69653,118.23119
1.57778,3.10888,0.22155,9.61605,1.37755,120.91408,118.2383
1.58889,3.11016,0.21851,9.62538,1.35919,120.14244,118.24652
1.6,3.11143,0.21552,9.63456,1.34118,119.38015,118.25609
1.61111,3.11268,0.2126,9.64361,1.32352,118.62571,118.26687
1.62222,3.11392,0.20973,9.65252,1.30616,117.87766,118.27831
1.63333,3.11514,0.20691,9.66131,1.2891,117.13468,118.28955
1.64444,3.11635,0.20413,9.67,1.27231,116.39567,118.29942
1.65556,3.11756,0.2014,9.6786,1.25578,115.65982,118.30658
1.66667,3.11875,0.19872,9.68713,1.2395,114.92661,118.30959
1.67778,3.11994,0.19607,9.69561,1.22347,114.19585,118.30702
1.68889,3.12113,0.19347,9.70405,1.20767,113.46763,118.29752
1.7,3.12232,0.1909,9.71246,1.1921,112.74232,118.27993
1.71111,3.12352,0.18837,9.72086,1.17678,112.02049,118.25335
1.72222,3.12471,0.18589,9.72925,1.1617,111.30284,118.21714
1.73333,3.12591,0.18344,9.73764,1.14686,110.59013,118.17102
1.74444,3.12711,0.18104,9.74602,1.13227,109.88308,118.11499
1.75556,3.12831,0.17868,9.7544,1.11793,109.18232,118.04938
1.76667,3.12951,0.17636,9.76276,1.10383,108.48833,117.97475
1.77778,3.13072,0.17408,9.7711,1.08999,107.8014,117.89187
1.78889,3.13192,0.17184,9.77941,1.07639,107.12158,117.80166
1.8,3.13312,0.16964,9.78768,1.06303,106.4487,117.70512
1.81111,3.13432,0.16748,9.7959,1.04989,105.78234,117.60327
1.82222,3.13551,0.16536,9.80407,1.03697,105.12189,117.49708
1.83333,3.13669,0.16327,9.81217,1.02426,104.46657,117.38742
1.84444,3.13786,0.16122,9.8202,1.01175,103.81547,117.27504
1.85556,3.13903,0.15919,9.82815,0.99941,103.16758,117.16052
1.86667,3.14018,0.1572,9.83603,0.98725,102.52189,117.04423
1.87778,3.14132,0.15523,9.84382,0.97524,101.87739,116.92638
1.88889,3.14246,0.15328,9.85154,0.96337,101.23317,116.80695
1.9,3.14358,0.15136,9.85919,0.95163,100.58841,116.68577
1.91111,3.1447,0.14946,9.86677,0.94003,99.94246,116.56249
1.92222,3.1458,0.14758,9.87428,0.92854,99.29484,116.43662
1.93333,3.1469,0.14572,9.88174,0.91716,98.64529,116.30761
1.94444,3.14799,0.14388,9.88915,0.9059,97.99373,116.17479
1.95556,3.14908,0.14206,9.89651,0.89474,97.34031,116.03752
1.96667,3.15016,0.14026,9.90384,0.8837,96.68533,115.89513
1.97778,3.15124,0.13848,9.91114,0.87277,96.0293,115.74701
1.98889,3.15232,0.13672,9.91841,0.86197,95.37282,115.59262
2.0,3.15339,0.13498,9.92566,0.85128,94.71661,115.43153
2.01111,3.15447,0.13326,9.93289,0.84072,94.06144,115.26341
2.02222,3.15554,0.13156,9.94011,0.83029,93.40809,115.08808
2.03333,3.15661,0.12989,9.94732,0.82,92.75731,114.90548
2.04444,3.15768,0.12824,9.95451,0.80985,92.10981,114.71571
2.05556,3.15875,0.12661,9.96168,0.79985,91.46616,114.51899
2.06667,3.15982,0.125,9.96883,0.78999,90.82684,114.31569
2.07778,3.16089,0.12343,9.97596,0.78027,90.19219,114.10627
2.08889,3.16195,0.12187,9.98306,0.7707,89.56238,113.89134
2.1,3.16301,0.12034,9.99013,0.76127,88.93744,113.67158
2.11111,3.16406,0.11883,9.99715,0.75199,88.31725,113.44776
2.12222,3.16511,0.11735,10.00413,0.74283,87.70157,113.2207
2.13333,3.16615,0.11588,10.01106,0.73381,87.09003,112.99131
2.14444,3.16718,0.11444,10.01793,0.72492,86.4822,112.76049
2.15556,3.1682,0.11302,10.02473,0.71614,85.87759,112.52921
2.16667,3.16921,0.11162,10.03146,0.70747,85.27569,112.2984
2.17778,3.17021,0.11023,10.0381,0.69891,84.67602,112.06899
2.18889,3.1712,0.10886,10.04467,0.69045,84.07817,111.84189
2.2,3.17217,0.10751,10.05113,0.68209,83.48179,111.61795
2.21111,3.17313,0.10618,10.0575,0.67383,82.8867,111.39795
2.22222,3.17408,0.10486,10.06378,0.66566,82.29282,111.18254
2.23333,3.17501,0.10356,10.06994,0.65758,81.70029,110.97231
2.24444,3.17592,0.10227,10.076,0.64959,81.1094,110.76766
2.25556,3.17682,0.101,10.08196,0.6417,80.52064,110.56883
2.26667,3.1777,0.09974,10.08781,0.6339,79.93469,110.37589
2.27778,3.17856,0.09851,10.09355,0.62622,79.35238,110.18869
2.28889,3.17941,0.09729,10.0992,0.61864,78.7747,110.00684
2.3,3.18025,0.09609,10.10476,0.61118,78.20276,109.82972
