ref_time_ps,ref_amplitude,sample_time_ps,sample_amplitude
120.95,-6.8e-05,120.95,-2.12122e-06
121.0,-5.13333e-05,121.0,-2.12122e-06
121.05,-3e-06,121.05,-2.12122e-06
121.1,-3.93333e-05,121.1,-2.12122e-06
121.15,2.93333e-05,121.15,-2.12122e-06
121.2,5.36667e-05,121.2,-2.12122e-06
121.25,5.76667e-05,121.25,-2.12122e-06
121.3,0.000126667,121.3,-2.12122e-06
121.35,0.000157,121.35,-2.12122e-06
121.4,0.000155333,121.4,-2.12122e-06
121.45,0.000221333,121.45,-2.12122e-06
121.5,0.000261,121.5,-2.12122e-06
121.55,0.000353333,121.55,-2.12122e-06
121.6,0.000432,121.6,-2.12122e-06
121.65,0.000484,121.65,-2.12122e-06
121.7,0.000676333,121.7,-2.12122e-06
121.75,0.0008,121.75,-2.12122e-06
121.8,0.00107,121.8,-2.12122e-06
121.85,0.00131,121.85,-2.12122e-06
121.9,0.00177,121.9,-2.12122e-06
121.95,0.00237,121.95,-2.12122e-06
122.0,0.00309,122.0,-2.12122e-06
122.05,0.00404,122.05,-2.12122e-06
122.1,0.00531,122.1,-2.12122e-06
122.15,0.0068,122.15,-2.12122e-06
122.2,0.00844,122.2,-2.12122e-06
122.25,0.00995,122.25,-2.12122e-06
122.3,0.01115,122.3,-2.12122e-06
122.35,0.0117,122.35,-2.12122e-06
122.4,0.01114,122.4,-2.12122e-06
122.45,0.00889,122.45,-2.12122e-06
122.5,0.00492,122.5,-6.66667e-07
122.55,-0.00101,122.55,-9.33333e-06
122.6,-0.0083,122.6,2.73333e-05
122.65,-0.01635,122.65,-1.4e-05
122.7,-0.02351,122.7,-2.26667e-05
122.75,-0.0277,122.75,7.33333e-06
122.8,-0.0284,122.8,-1.6e-05
122.85,-0.02409,122.85,6.66667e-07
122.9,-0.01544,122.9,4e-06
122.95,-0.00314,122.95,-3.66667e-05
123.0,0.00938,123.0,3.66667e-05
123.05,0.01886,123.05,-5e-05
123.1,0.02336,123.1,-2.86667e-05
123.15,0.02121,123.15,-7.33333e-06
123.2,0.01257,123.2,-2.6e-05
123.25,0.00248,123.25,-4.66667e-06
123.3,-0.00742,123.3,-1.33333e-06
123.35,-0.01263,123.35,3.33333e-06
123.4,-0.01201,123.4,1.8e-05
123.45,-0.00642,123.45,1.2e-05
123.5,0.000946,123.5,-1.46667e-05
123.55,0.00658,123.55,2.33333e-05
123.6,0.00813,123.6,-4.66667e-06
123.65,0.00526,123.65,3.8e-05
123.7,-0.000310333,123.7,2.2e-05
123.75,-0.00516,123.75,4e-06
123.8,-0.00705,123.8,4.73333e-05
123.85,-0.00501,123.85,1.8e-05
123.9,-0.000581,123.9,-1.46667e-05
123.95,0.00379,123.95,-1.13333e-05
124.0,0.00571,124.0,1.73333e-05
124.05,0.00448,124.05,2.73333e-05
124.1,0.00141,124.1,4.86667e-05
124.15,-0.00202,124.15,3.66667e-05
124.2,-0.00363,124.2,2.2e-05
124.25,-0.00313,124.25,3.6e-05
124.3,-0.00122,124.3,2.8e-05
124.35,0.00085,124.35,6.13333e-05
124.4,0.00188,124.4,9.46667e-05
124.45,0.00142,124.45,0.000152
124.5,0.000165667,124.5,0.000203333
124.55,-0.000990667,124.55,0.000218
124.6,-0.00129,124.6,0.000278667
124.65,-0.000727333,124.65,0.000332
124.7,0.000218667,124.7,0.000291333
124.75,0.000876333,124.75,0.000162667
124.8,0.000862,124.8,7.66667e-05
124.85,0.000301667,124.85,-4.86667e-05
124.9,-0.000358333,124.9,-0.000402667
124.95,-0.000684,124.95,-0.000608667
125.0,-0.00051,125.0,-0.000837333
125.05,-7.03333e-05,125.05,-0.000998667
125.1,0.000432,125.1,-0.000956
125.15,0.000637,125.15,-0.000693333
125.2,0.000495333,125.2,-0.000222
125.25,0.000131333,125.25,0.000432
125.3,-0.000277667,125.3,0.00106
125.35,-0.000514,125.35,0.00153
125.4,-0.000500333,125.4,0.00162
125.45,-0.000335,125.45,0.00123
125.5,-0.000160333,125.5,0.000438667
125.55,8.33333e-06,125.55,-0.000538
125.6,0.000127667,125.6,-0.00146
125.65,0.000130333,125.65,-0.00181
125.7,4.1e-05,125.7,-0.00159
125.75,1.7e-05,125.75,-0.000748667
125.8,-5.7e-05,125.8,0.000306667
125.85,-1.3e-05,125.85,0.00133
125.9,6.33333e-06,125.9,0.0017
125.95,5.43333e-05,125.95,0.00125
126.0,1.03333e-05,126.0,0.000381333
126.05,-4.96667e-05,126.05,-0.000749333
126.1,-5.43333e-05,126.1,-0.00144
126.15,-0.000107,126.15,-0.00125
126.2,-4.3e-05,126.2,-0.000572667
126.25,3.8e-05,126.25,0.000378
126.3,0.000137333,126.3,0.00109
126.35,0.000256667,126.35,0.00113
126.4,0.000246333,126.4,0.000571333
126.45,8.76667e-05,126.45,-0.000156667
126.5,-9.33333e-05,126.5,-0.000808
126.55,-0.000242333,126.55,-0.000919333
126.6,-0.000284667,126.6,-0.000563333
126.65,-0.000280667,126.65,0.000103333
126.7,-0.000135,126.7,0.000518667
126.75,-3.63333e-05,126.75,0.000597333
126.8,8.26667e-05,126.8,0.000294
126.85,0.000145667,126.85,-7.86667e-05
126.9,9.6e-05,126.9,-0.000425333
126.95,0.000159,126.95,-0.000501333
127.0,0.000138333,127.0,-0.000198667
127.05,0.000118667,127.05,9.73333e-05
127.1,0.000108667,127.1,0.000282
127.15,9.16667e-05,127.15,0.000237333
127.2,-3.06667e-05,127.2,0.000109333
127.25,-8.73333e-05,127.25,-0.000158
127.3,-0.000126333,127.3,-0.000208
127.35,-5.53333e-05,127.35,-0.000176667
127.4,4e-05,127.4,2.06667e-05
127.45,0.000154667,127.45,0.000131333
127.5,0.000177,127.5,0.000145333
127.55,0.000151667,127.55,3.4e-05
127.6,2.06667e-05,127.6,-5.2e-05
127.65,-5.36667e-05,127.65,-8.13333e-05
127.7,-0.000135,127.7,-0.000105333
127.75,-0.000117333,127.75,-5.66667e-05
127.8,-6.7e-05,127.8,-2.06667e-05
127.85,3.1e-05,127.85,9.6e-05
127.9,0.000101,127.9,4.93333e-05
127.95,0.000108333,127.95,1.73333e-05
128.0,2.6e-05,128.0,-2.53333e-05
128.05,4.33333e-05,128.05,6.66667e-07
128.1,1.7e-05,128.1,-2.66667e-05
128.15,6.6e-05,128.15,-3.06667e-05
128.2,0.000101,128.2,-1.4e-05
128.25,8.63333e-05,128.25,2.33333e-05
128.3,0.000115333,128.3,-1e-05
128.35,3.3e-05,128.35,2.26667e-05
128.4,-4.2e-05,128.4,-4.66667e-05
128.45,-7.43333e-05,128.45,-1.33333e-05
128.5,-7.46667e-05,128.5,-1.33333e-06
128.55,-3.33333e-05,128.55,-1.73333e-05
128.6,4.06667e-05,128.6,-9.33333e-06
128.65,7.3e-05,128.65,-6e-06
128.7,7.53333e-05,128.7,2.66667e-05
128.75,8.26667e-05,128.75,3.73333e-05
128.8,-1.5e-05,128.8,-1.46667e-05
128.85,-9.4e-05,128.85,-6.4e-05
128.9,-0.000130667,128.9,-3.33333e-05
128.95,-0.000138,128.95,-6.26667e-05
129.0,-8.1e-05,129.0,1e-05
129.05,3.76667e-05,129.05,-7.33333e-06
129.1,6.83333e-05,129.1,2.93333e-05
129.15,0.000100333,129.15,4.66667e-05
129.2,6.06667e-05,129.2,-4e-06
129.25,-3.06066e-06,129.25,-1.13333e-05
129.3,-3.06066e-06,129.3,1.8e-05
129.35,-3.06066e-06,129.35,-3.46667e-05
129.4,-3.06066e-06,129.4,3.2e-05
129.45,-3.06066e-06,129.45,1.86667e-05
129.5,-3.06066e-06,129.5,-3.86667e-05
129.55,-3.06066e-06,129.55,-8.66667e-06
129.6,-3.06066e-06,129.6,3.33333e-06
129.65,-3.06066e-06,129.65,-2.46667e-05
129.7,-3.06066e-06,129.7,1.13333e-05
129.75,-3.06066e-06,129.75,4.33333e-05
129.8,-3.06066e-06,129.8,7e-05
129.85,-3.06066e-06,129.85,1.06667e-05
129.9,-3.06066e-06,129.9,-2.46667e-05
129.95,-3.06066e-06,129.95,-2.93333e-05
130.0,-3.06066e-06,130.0,4.13333e-05
130.05,-3.06066e-06,130.05,-4.26667e-05
130.1,-3.06066e-06,130.1,-1.86667e-05
130.15,-3.06066e-06,130.15,-1.73333e-05
130.2,-3.06066e-06,130.2,4.66667e-06
130.25,-3.06066e-06,130.25,-5.33333e-06
130.3,-3.06066e-06,130.3,-3e-05
130.35,-3.06066e-06,130.35,-8.66667e-06
130.4,-3.06066e-06,130.4,-2.93333e-05
130.45,-3.06066e-06,130.45,2.4e-05
130.5,-3.06066e-06,130.5,-3.53333e-05
130.55,-3.06066e-06,130.55,1.33333e-06
130.6,-3.06066e-06,130.6,3.53333e-05
130.65,-3.06066e-06,130.65,-2.46667e-05
130.7,-3.06066e-06,130.7,-4.66667e-06
130.75,-3.06066e-06,130.75,-1.86667e-05
130.8,-3.06066e-06,130.8,-3.06667e-05
130.85,-3.06066e-06,130.85,2e-05
130.9,-3.06066e-06,130.9,1.6e-05
130.95,-3.06066e-06,130.95,4.66667e-05
131.0,-3.06066e-06,131.0,-2.66667e-06
131.05,-3.06066e-06,131.05,4.8e-05
131.1,-3.06066e-06,131.1,6e-06
131.15,-3.06066e-06,131.15,2.53333e-05
131.2,-3.06066e-06,131.2,-4.66667e-06
131.25,-3.06066e-06,131.25,-2.06667e-05
131.3,-3.06066e-06,131.3,6.66667e-07
131.35,-3.06066e-06,131.35,7.33333e-06
131.4,-3.06066e-06,131.4,2.6e-05
131.45,-3.06066e-06,131.45,1.33333e-06
131.5,-3.06066e-06,131.5,1.21212e-05
131.55,-3.06066e-06,131.55,1.21212e-05
131.6,-3.06066e-06,131.6,1.21212e-05
131.65,-3.06066e-06,131.65,1.21212e-05
131.7,-3.06066e-06,131.7,1.21212e-05
131.75,-3.06066e-06,131.75,1.21212e-05
131.8,-3.06066e-06,131.8,1.21212e-05
131.85,-3.06066e-06,131.85,1.21212e-05
131.9,-3.06066e-06,131.9,1.21212e-05
131.95,-3.06066e-06,131.95,1.21212e-05
132.0,-3.06066e-06,132.0,1.21212e-05
132.05,-3.06066e-06,132.05,1.21212e-05
132.1,-3.06066e-06,132.1,1.21212e-05
132.15,-3.06066e-06,132.15,1.21212e-05
132.2,-3.06066e-06,132.2,1.21212e-05
132.25,-3.06066e-06,132.25,1.21212e-05
132.3,-3.06066e-06,132.3,1.21212e-05
132.35,-3.06066e-06,132.35,1.21212e-05
132.4,-3.06066e-06,132.4,1.21212e-05
132.45,-3.06066e-06,132.45,1.21212e-05
132.5,-3.06066e-06,132.5,1.21212e-05
132.55,-3.06066e-06,132.55,1.21212e-05
132.6,-3.06066e-06,132.6,1.21212e-05
132.65,-3.06066e-06,132.65,1.21212e-05
132.7,-3.06066e-06,132.7,1.21212e-05
132.75,-3.06066e-06,132.75,1.21212e-05
132.8,-3.06066e-06,132.8,1.21212e-05
132.85,-3.06066e-06,132.85,1.21212e-05
132.9,-3.06066e-06,132.9,1.21212e-05
132.95,-3.06066e-06,132.95,1.21212e-05
133.0,-3.06066e-06,133.0,1.21212e-05
133.05,-3.06066e-06,133.05,1.21212e-05
133.1,-3.06066e-06,133.1,1.21212e-05
133.15,-3.06066e-06,133.15,1.21212e-05
133.2,-3.06066e-06,133.2,1.21212e-05
133.25,-3.06066e-06,133.25,1.21212e-05
133.3,-3.06066e-06,133.3,1.21212e-05
133.35,-3.06066e-06,133.35,1.21212e-05
133.4,-3.06066e-06,133.4,1.21212e-05
133.45,-3.06066e-06,133.45,1.21212e-05
133.5,-3.06066e-06,133.5,1.21212e-05
133.55,-3.06066e-06,133.55,1.21212e-05
133.6,-3.06066e-06,133.6,1.21212e-05
133.65,-3.06066e-06,133.65,1.21212e-05
133.7,-3.06066e-06,133.7,1.21212e-05
133.75,-3.06066e-06,133.75,1.21212e-05
133.8,-3.06066e-06,133.8,1.21212e-05
133.85,-3.06066e-06,133.85,1.21212e-05
133.9,-3.06066e-06,133.9,1.21212e-05
133.95,-3.06066e-06,133.95,1.21212e-05
134.0,-3.06066e-06,134.0,1.21212e-05
