Frequency	σRe	σIm
1.34766000E+12	1.43932870E+02	1.64060320E+02
1.35254000E+12	1.44454370E+02	1.64654740E+02
1.35742000E+12	1.44975860E+02	1.65249160E+02
1.36230000E+12	1.45497360E+02	1.65843580E+02
1.36719000E+12	1.43822660E+02	1.64133980E+02
1.37207000E+12	1.44336320E+02	1.64720180E+02
1.37695000E+12	1.44849970E+02	1.65306370E+02
1.38184000E+12	1.45363620E+02	1.65892560E+02
1.38672000E+12	1.38773770E+02	1.63695340E+02
1.39160000E+12	1.39262410E+02	1.64271730E+02
1.39648000E+12	1.39751050E+02	1.64848120E+02
1.40137000E+12	1.37779350E+02	1.65204270E+02
1.40625000E+12	1.38449070E+02	1.63640840E+02
1.41113000E+12	1.38929800E+02	1.64209030E+02
1.41602000E+12	1.36921050E+02	1.64558630E+02
1.42090000E+12	1.37393190E+02	1.65126070E+02
1.42578000E+12	1.37865330E+02	1.65693510E+02
1.43066000E+12	1.38337470E+02	1.66260960E+02
1.43555000E+12	1.36285800E+02	1.66610770E+02
1.44043000E+12	1.36749360E+02	1.67177480E+02
1.44531000E+12	1.37212920E+02	1.67744180E+02
1.45020000E+12	1.37676470E+02	1.68310880E+02
1.45508000E+12	1.35581880E+02	1.68661050E+02
1.45996000E+12	1.36036860E+02	1.69227020E+02
1.46484000E+12	1.36491830E+02	1.69793000E+02
1.46973000E+12	1.36946800E+02	1.70358980E+02
1.47461000E+12	1.34809290E+02	1.70709610E+02
1.47949000E+12	1.35255680E+02	1.71274870E+02
1.48438000E+12	1.35702060E+02	1.71840140E+02
1.48926000E+12	1.31091300E+02	1.69714430E+02
1.49414000E+12	1.28890690E+02	1.70065140E+02
1.49902000E+12	1.29311900E+02	1.70620910E+02
1.50391000E+12	1.27085500E+02	1.70973790E+02
1.50879000E+12	1.27498110E+02	1.71528900E+02
1.51367000E+12	1.27910730E+02	1.72084010E+02
1.51855000E+12	1.28323340E+02	1.72639120E+02
1.52344000E+12	1.26226400E+02	1.70669280E+02
1.52832000E+12	1.26630970E+02	1.71216290E+02
1.53320000E+12	1.27035540E+02	1.71763310E+02
1.53809000E+12	1.27440120E+02	1.72310330E+02
1.54297000E+12	1.27844690E+02	1.72857340E+02
1.54785000E+12	1.25520550E+02	1.73204150E+02
1.55273000E+12	1.25916520E+02	1.73750540E+02
1.55762000E+12	1.26312480E+02	1.74296920E+02
1.56250000E+12	1.26708440E+02	1.74843310E+02
1.56738000E+12	1.24511130E+02	1.72797360E+02
1.57227000E+12	1.24899020E+02	1.73335670E+02
1.57715000E+12	1.25286900E+02	1.73873980E+02
1.58203000E+12	1.25674790E+02	1.74412290E+02
1.58691000E+12	1.20624230E+02	1.72135040E+02
1.59180000E+12	1.20995380E+02	1.72664690E+02
1.59668000E+12	1.21366530E+02	1.73194340E+02
1.60156000E+12	1.21737680E+02	1.73723980E+02
1.60645000E+12	1.24948570E+02	1.74448010E+02
1.61133000E+12	1.19794600E+02	1.72124980E+02
