Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
124.4	0.00188		124.4	0.00188		126.64999999999999	0.000103333		127.0	-0.000198667	
124.44999999999999	0.00142		124.44999999999999	0.00142		126.70000000000002	0.000518667		127.05	9.73333e-05	
124.50000000000001	0.000165667		124.50000000000001	0.000165667		126.75	0.000597333		127.09999999999998	0.000282	
124.55	-0.000990667		124.55	-0.000990667		126.8	0.000294		127.14999999999999	0.000237333	
124.6	-0.00129		124.6	-0.00129		126.84999999999998	-7.86667e-05		127.20000000000002	0.000109333	
124.65	-0.000727333		124.65	-0.000727333		126.89999999999999	-0.000425333		127.25	-0.000158	
124.69999999999999	0.000218667		124.69999999999999	0.000218667		126.95000000000002	-0.000501333		127.29999999999998	-0.000208	
124.75000000000001	0.000876333		124.75000000000001	0.000876333		127.0	-0.000198667		127.34999999999998	-0.000176667	
124.8	0.000862		124.8	0.000862		127.05	9.73333e-05		127.39999999999999	2.06667e-05	
124.85	0.000301667		124.85	0.000301667		127.09999999999998	0.000282		127.45	0.000131333	
124.9	-0.000358333		124.9	-0.000358333		127.14999999999999	0.000237333		127.5	0.000145333	
124.94999999999999	-0.000684		124.94999999999999	-0.000684		127.20000000000002	0.000109333		127.54999999999998	3.4e-05	
125.00000000000001	-0.00051		125.00000000000001	-0.00051		127.25	-0.000158		127.60000000000001	-5.2e-05	
125.05	-7.03333e-05		125.05	-7.03333e-05		127.29999999999998	-0.000208		127.64999999999999	-8.13333e-05	
125.09999999999998	0.000432		125.09999999999998	0.000432		127.34999999999998	-0.000176667		127.7	-0.000105333	
125.15	0.000637		125.15	0.000637		127.39999999999999	2.06667e-05		127.75	-5.66667e-05	
125.19999999999999	0.000495333		125.19999999999999	0.000495333		127.45	0.000131333		127.79999999999998	-2.06667e-05	
125.25	0.000131333		125.25	0.000131333		127.5	0.000145333		127.85000000000001	9.6e-05	
125.3	-0.000277667		125.3	-0.000277667		127.54999999999998	3.4e-05		127.89999999999999	4.93333e-05	
125.34999999999998	-0.000514		125.34999999999998	-0.000514		127.60000000000001	-5.2e-05		127.95	1.73333e-05	
125.4	-0.000500333		125.4	-0.000500333		127.64999999999999	-8.13333e-05		128.0	-2.53333e-05	
125.44999999999999	-0.000335		125.44999999999999	-0.000335		127.7	-0.000105333		128.05	6.66667e-07	
125.5	-0.000160333		125.5	-0.000160333		127.75	-5.66667e-05		128.1	-2.66667e-05	
125.55	8.33333e-06		125.55	8.33333e-06		127.79999999999998	-2.06667e-05		128.15	-3.06667e-05	
125.59999999999998	0.000127667		125.59999999999998	0.000127667		127.85000000000001	9.6e-05		128.2	-1.4e-05	
125.65	0.000130333		125.65	0.000130333		127.89999999999999	4.93333e-05		128.25	2.33333e-05	
125.69999999999999	4.1e-05		125.69999999999999	4.1e-05		127.95	1.73333e-05		128.3	-1e-05	
125.75	1.7e-05		125.75	1.7e-05		128.0	-2.53333e-05		128.35	2.26667e-05	
125.8	-5.7e-05		125.8	-5.7e-05		128.05	6.66667e-07		128.39999999999998	-4.66667e-05	
125.84999999999998	-1.3e-05		125.84999999999998	-1.3e-05		128.1	-2.66667e-05		128.45	-1.33333e-05	
125.9	6.33333e-06		125.9	6.33333e-06		128.15	-3.06667e-05		128.5	-1.33333e-06	
125.94999999999999	5.43333e-05		125.94999999999999	5.43333e-05		128.2	-1.4e-05		128.55	-1.73333e-05	
126.0	1.03333e-05		126.0	1.03333e-05		128.25	2.33333e-05		128.6	-9.33333e-06	
126.05	-4.96667e-05		126.05	-4.96667e-05		128.3	-1e-05		128.65	-6e-06	
126.09999999999998	-5.43333e-05		126.09999999999998	-5.43333e-05		128.35	2.26667e-05		128.7	2.66667e-05	
126.15	-0.000107		126.15	-0.000107		128.39999999999998	-4.66667e-05		128.75	3.73333e-05	
126.19999999999999	-4.3e-05		126.19999999999999	-4.3e-05		128.45	-1.33333e-05		128.8	-1.46667e-05	
126.25	3.8e-05		126.25	3.8e-05		128.5	-1.33333e-06		128.85	-6.4e-05	
126.3	0.000137333		126.3	0.000137333		128.55	-1.73333e-05		128.9	-3.33333e-05	
126.34999999999998	0.000256667		126.34999999999998	0.000256667		128.6	-9.33333e-06		128.95	-6.26667e-05	
126.39999999999999	0.000246333		126.39999999999999	0.000246333		128.65	-6e-06		129.0	1e-05	
126.45000000000002	8.76667e-05		126.45000000000002	8.76667e-05		128.7	2.66667e-05		129.05	-7.33333e-06	
126.5	-9.33333e-05		126.5	-9.33333e-05		128.75	3.73333e-05		129.1	2.93333e-05	
126.55	-0.000242333		126.55	-0.000242333		128.8	-1.46667e-05		129.15	4.66667e-05	
126.59999999999998	-0.000284667		126.59999999999998	-0.000284667		128.85	-6.4e-05		129.2	-4e-06	
126.64999999999999	-0.000280667		126.64999999999999	-0.000280667		128.9	-3.33333e-05		129.25	-1.13333e-05	
126.70000000000002	-0.000135		126.70000000000002	-0.000135		128.95	-6.26667e-05		129.3	1.8e-05	
126.75	-3.63333e-05		126.75	-3.63333e-05		129.0	1e-05		129.35	-3.46667e-05	
126.8	8.26667e-05		126.8	8.26667e-05		129.05	-7.33333e-06		129.4	3.2e-05	
126.84999999999998	0.000145667		126.84999999999998	0.000145667		129.1	2.93333e-05		129.45	1.86667e-05	
126.89999999999999	9.6e-05		126.89999999999999	9.6e-05		129.15	4.66667e-05		129.5	-3.86667e-05	
126.95000000000002	0.000159		126.95000000000002	0.000159		129.2	-4e-06		129.55	-8.66667e-06	
127.0	0.000138333		127.0	0.000138333		129.25	-1.13333e-05		129.6	3.33333e-06	
127.05	0.000118667		127.05	0.000118667		129.3	1.8e-05		129.65	-2.46667e-05	
127.09999999999998	0.000108667		127.09999999999998	0.000108667		129.35	-3.46667e-05		129.7	1.13333e-05	
