ref_time_ps,ref_amplitude,sample_time_ps,sample_amplitude,raw_ref_time_ps,raw_ref_amplitude,raw_sample_time_ps,raw_sample_amplitude
121.75,0.0008,124.05,2.73333e-05,121.75,0.0008,123.99999999999999,1.73333e-05
121.79999999999998,0.00107,124.1,4.86667e-05,121.79999999999998,0.00107,124.05,2.73333e-05
121.85,0.00131,124.15,3.66667e-05,121.85,0.00131,124.1,4.86667e-05
121.90000000000002,0.00177,124.19999999999999,2.2e-05,121.90000000000002,0.00177,124.15,3.66667e-05
121.95,0.00237,124.25000000000001,3.6e-05,121.95,0.00237,124.19999999999999,2.2e-05
121.99999999999999,0.00309,124.3,2.8e-05,121.99999999999999,0.00309,124.25000000000001,3.6e-05
122.04999999999998,0.00404,124.35,6.13333e-05,122.04999999999998,0.00404,124.3,2.8e-05
122.1,0.00531,124.4,9.46667e-05,122.1,0.00531,124.35,6.13333e-05
122.15,0.0068,124.44999999999999,0.000152,122.15,0.0068,124.4,9.46667e-05
122.2,0.00844,124.50000000000001,0.000203333,122.2,0.00844,124.44999999999999,0.000152
122.24999999999999,0.00995,124.55,0.000218,122.24999999999999,0.00995,124.50000000000001,0.000203333
122.30000000000001,0.01115,124.6,0.000278667,122.30000000000001,0.01115,124.55,0.000218
122.35,0.0117,124.65,0.000332,122.35,0.0117,124.6,0.000278667
122.4,0.01114,124.69999999999999,0.000291333,122.4,0.01114,124.65,0.000332
122.45,0.00889,124.75000000000001,0.000162667,122.45,0.00889,124.69999999999999,0.000291333
122.49999999999999,0.00492,124.8,7.66667e-05,122.49999999999999,0.00492,124.75000000000001,0.000162667
122.55000000000001,-0.00101,124.85,-4.86667e-05,122.55000000000001,-0.00101,124.8,7.66667e-05
122.6,-0.0083,124.9,-0.000402667,122.6,-0.0083,124.85,-4.86667e-05
122.65,-0.01635,124.94999999999999,-0.000608667,122.65,-0.01635,124.9,-0.000402667
122.7,-0.02351,125.00000000000001,-0.000837333,122.7,-0.02351,124.94999999999999,-0.000608667
122.74999999999999,-0.0277,125.05,-0.000998667,122.74999999999999,-0.0277,125.00000000000001,-0.000837333
122.80000000000001,-0.0284,125.09999999999998,-0.000956,122.80000000000001,-0.0284,125.05,-0.000998667
122.85,-0.02409,125.15,-0.000693333,122.85,-0.02409,125.09999999999998,-0.000956
122.9,-0.01544,125.19999999999999,-0.000222,122.9,-0.01544,125.15,-0.000693333
122.95,-0.00314,125.25,0.000432,122.95,-0.00314,125.19999999999999,-0.000222
122.99999999999999,0.00938,125.3,0.00106,122.99999999999999,0.00938,125.25,0.000432
123.05,0.01886,125.34999999999998,0.00153,123.05,0.01886,125.3,0.00106
123.1,0.02336,125.4,0.00162,123.1,0.02336,125.34999999999998,0.00153
123.15,0.02121,125.44999999999999,0.00123,123.15,0.02121,125.4,0.00162
123.2,0.01257,125.5,0.000438667,123.2,0.01257,125.44999999999999,0.00123
123.24999999999999,0.00248,125.55,-0.000538,123.24999999999999,0.00248,125.5,0.000438667
123.3,-0.00742,125.59999999999998,-0.00146,123.3,-0.00742,125.55,-0.000538
123.35,-0.01263,125.65,-0.00181,123.35,-0.01263,125.59999999999998,-0.00146
123.4,-0.01201,125.69999999999999,-0.00159,123.4,-0.01201,125.65,-0.00181
123.45,-0.00642,125.75,-0.000748667,123.45,-0.00642,125.69999999999999,-0.00159
123.49999999999999,0.000946,125.8,0.000306667,123.49999999999999,0.000946,125.75,-0.000748667
123.55,0.00658,125.84999999999998,0.00133,123.55,0.00658,125.8,0.000306667
123.6,0.00813,125.9,0.0017,123.6,0.00813,125.84999999999998,0.00133
123.65,0.00526,125.94999999999999,0.00125,123.65,0.00526,125.9,0.0017
123.7,-0.000310333,126.0,0.000381333,123.7,-0.000310333,125.94999999999999,0.00125
123.74999999999999,-0.00516,126.05,-0.000749333,123.74999999999999,-0.00516,126.0,0.000381333
123.8,-0.00705,126.09999999999998,-0.00144,123.8,-0.00705,126.05,-0.000749333
123.85,-0.00501,126.15,-0.00125,123.85,-0.00501,126.09999999999998,-0.00144
123.9,-0.000581,126.19999999999999,-0.000572667,123.9,-0.000581,126.15,-0.00125
123.95,0.00379,126.25,0.000378,123.95,0.00379,126.19999999999999,-0.000572667
123.99999999999999,0.00571,126.3,0.00109,123.99999999999999,0.00571,126.25,0.000378
124.05,0.00448,126.34999999999998,0.00113,124.05,0.00448,126.3,0.00109
124.1,0.00141,126.39999999999999,0.000571333,124.1,0.00141,126.34999999999998,0.00113
124.15,-0.00202,126.45000000000002,-0.000156667,124.15,-0.00202,126.39999999999999,0.000571333
124.19999999999999,-0.00363,126.5,-0.000808,124.19999999999999,-0.00363,126.45000000000002,-0.000156667
124.25000000000001,-0.00313,126.55,-0.000919333,124.25000000000001,-0.00313,126.5,-0.000808
124.3,-0.00122,126.59999999999998,-0.000563333,124.3,-0.00122,126.55,-0.000919333
124.35,0.00085,126.64999999999999,0.000103333,124.35,0.00085,126.59999999999998,-0.000563333
124.4,0.00188,126.70000000000002,0.000518667,124.4,0.00188,126.64999999999999,0.000103333
124.44999999999999,0.00142,126.75,0.000597333,124.44999999999999,0.00142,126.70000000000002,0.000518667
124.50000000000001,0.000165667,126.8,0.000294,124.50000000000001,0.000165667,126.75,0.000597333
124.55,-0.000990667,126.84999999999998,-7.86667e-05,124.55,-0.000990667,126.8,0.000294
124.6,-0.00129,126.89999999999999,-0.000425333,124.6,-0.00129,126.84999999999998,-7.86667e-05
124.65,-0.000727333,126.95000000000002,-0.000501333,124.65,-0.000727333,126.89999999999999,-0.000425333
124.69999999999999,0.000218667,127.0,-0.000198667,124.69999999999999,0.000218667,126.95000000000002,-0.000501333
124.75000000000001,0.000876333,127.05,9.73333e-05,124.75000000000001,0.000876333,127.0,-0.000198667
124.8,0.000862,127.09999999999998,0.000282,124.8,0.000862,127.05,9.73333e-05
124.85,0.000301667,127.14999999999999,0.000237333,124.85,0.000301667,127.09999999999998,0.000282
124.9,-0.000358333,127.20000000000002,0.000109333,124.9,-0.000358333,127.14999999999999,0.000237333
124.94999999999999,-0.000684,127.25,-0.000158,124.94999999999999,-0.000684,127.20000000000002,0.000109333
125.00000000000001,-0.00051,127.29999999999998,-0.000208,125.00000000000001,-0.00051,127.25,-0.000158
125.05,-7.03333e-05,127.34999999999998,-0.000176667,125.05,-7.03333e-05,127.29999999999998,-0.000208
125.09999999999998,0.000432,127.39999999999999,2.06667e-05,125.09999999999998,0.000432,127.34999999999998,-0.000176667
125.15,0.000637,127.45,0.000131333,125.15,0.000637,127.39999999999999,2.06667e-05
125.19999999999999,0.000495333,127.5,0.000145333,125.19999999999999,0.000495333,127.45,0.000131333
125.25,0.000131333,127.54999999999998,3.4e-05,125.25,0.000131333,127.5,0.000145333
125.3,-0.000277667,127.60000000000001,-5.2e-05,125.3,-0.000277667,127.54999999999998,3.4e-05
125.34999999999998,-0.000514,127.64999999999999,-8.13333e-05,125.34999999999998,-0.000514,127.60000000000001,-5.2e-05
125.4,-0.000500333,127.7,-0.000105333,125.4,-0.000500333,127.64999999999999,-8.13333e-05
125.44999999999999,-0.000335,127.75,-5.66667e-05,125.44999999999999,-0.000335,127.7,-0.000105333
125.5,-0.000160333,127.79999999999998,-2.06667e-05,125.5,-0.000160333,127.75,-5.66667e-05
125.55,8.33333e-06,127.85000000000001,9.6e-05,125.55,8.33333e-06,127.79999999999998,-2.06667e-05
125.59999999999998,0.000127667,127.89999999999999,4.93333e-05,125.59999999999998,0.000127667,127.85000000000001,9.6e-05
125.65,0.000130333,127.95,1.73333e-05,125.65,0.000130333,127.89999999999999,4.93333e-05
125.69999999999999,4.1e-05,128.0,-2.53333e-05,125.69999999999999,4.1e-05,127.95,1.73333e-05
125.75,1.7e-05,128.05,6.66667e-07,125.75,1.7e-05,128.0,-2.53333e-05
125.8,-5.7e-05,128.1,-2.66667e-05,125.8,-5.7e-05,128.05,6.66667e-07
125.84999999999998,-1.3e-05,128.15,-3.06667e-05,125.84999999999998,-1.3e-05,128.1,-2.66667e-05
125.9,6.33333e-06,128.2,-1.4e-05,125.9,6.33333e-06,128.15,-3.06667e-05
125.94999999999999,5.43333e-05,128.25,2.33333e-05,125.94999999999999,5.43333e-05,128.2,-1.4e-05
126.0,1.03333e-05,128.3,-1e-05,126.0,1.03333e-05,128.25,2.33333e-05
126.05,-4.96667e-05,128.35,2.26667e-05,126.05,-4.96667e-05,128.3,-1e-05
