frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
2.33398,,,,,88.53095,190.82317
2.33887,,,,,80.37402,187.30207
2.34375,,,,,76.30278,187.57248
2.34863,,,,,76.46174,187.96326
2.35352,,,,,76.62071,188.35404
2.3584,,,,,76.77967,188.74481
2.36328,,,,,76.93863,189.13559
2.36816,,,,,81.3808,189.64823
2.37305,,,,,85.84062,190.16798
2.37793,,,,,81.71639,190.43028
2.38281,,,,,81.88418,190.82131
2.3877,,,,,82.05198,191.21234
2.39258,,,,,77.99614,187.73112
2.39746,,,,,78.15531,188.11425
2.40234,,,,,78.31449,188.49737
2.40723,,,,,78.47366,188.8805
2.41211,,,,,83.00133,189.38775
2.41699,,,,,83.16935,189.77112
2.42188,,,,,83.33737,190.1545
2.42676,,,,,83.50539,190.53788
2.43164,,,,,83.67341,190.92125
2.43652,,,,,75.11577,187.23757
2.44141,,,,,75.2663,187.6128
2.44629,,,,,75.41683,187.98802
2.45117,,,,,75.56737,188.36325
2.45605,,,,,75.7179,188.73847
2.46094,,,,,75.86843,189.1137
2.46582,,,,,76.01896,189.48893
2.4707,,,,,80.65005,189.98442
2.47559,,,,,80.80944,190.35988
2.48047,,,,,80.96883,190.73535
2.48535,,,,,81.12822,191.11081
2.49023,,,,,81.2876,191.48627
2.49512,,,,,81.44699,191.86174
2.5,,,,,81.60638,192.2372
2.50488,,,,,77.22322,192.49073
2.50977,,,,,77.37376,192.86596
2.51465,,,,,,193.24118
2.51953,,,,,,193.61641
2.52441,,,,,,189.90953
2.5293,,,,,,190.16781
2.53418,,,,,,190.53493
2.53906,,,,,,190.90205
2.54395,,,,,,191.26917
2.54883,,,,,,191.74618
2.55371,,,,,,192.23072
2.55859,,,,,,192.59828
2.56348,,,,,,192.84817
2.56836,,,,,,193.2155
2.57324,,,,,,189.42357
2.57813,,,,,,189.78301
2.58301,,,,,,190.14245
2.58789,,,,,,190.50188
2.59277,,,,,,190.97311
2.59766,,,,,,191.33276
2.60254,,,,,,191.6924
2.60742,,,,,,192.05205
2.6123,,,,,,192.4117
2.61719,,,,,,188.43004
2.62207,,,,,,188.78159
2.62695,,,,,,189.13313
2.63184,,,,,,189.48468
2.63672,,,,,,189.94258
2.6416,,,,,,190.29432
2.64648,,,,,,190.64607
2.65137,,,,,,186.60903
2.65625,,,,,,186.95269
2.66113,,,,,,187.20383
2.66602,,,,,,187.54732
2.6709,,,,,,188.08398
2.67578,,,,,,188.42783
2.68066,,,,,,188.77167
2.68555,,,,,,189.11552
2.69043,,,,,,185.01528
2.69531,,,,,,185.35106
2.7002,,,,,,185.68684
2.70508,,,,,,186.02262
2.70996,,,,,,186.3584
2.71484,,,,,,186.69418
2.71973,,,,,,187.02996
2.72461,,,,,,187.36574
2.72949,,,,,,187.70152
2.73438,,,,,,188.0373
2.73926,,,,,,188.37308
2.74414,,,,,,188.70887
2.74902,,,,,,189.04465
2.75391,,,,,,189.38043
2.75879,,,,,,189.71621
2.76367,,,,,,194.61706
2.76855,,,,,,194.96091
2.77344,,,,,,195.30475
2.77832,,,,,,195.6486
2.7832,,,,,,195.99245
2.78809,,,,,,196.33629
2.79297,,,,,,196.68014
2.79785,,,,,,197.02399
2.80273,,,,,,197.36783
2.80762,,,,,,197.60625
2.8125,,,,,,197.94991
2.81738,,,,,,198.29357
2.82227,,,,,,198.63724
2.82715,,,,,,198.9809
2.83203,,,,,,194.66233
2.83691,,,,,,194.99795
2.8418,,,,,,195.33358
2.84668,,,,,,195.6692
2.85156,,,,,,196.09605
2.85645,,,,,,196.43183
2.86133,,,,,,196.76761
2.86621,,,,,,192.39486
2.87109,,,,,,192.72262
2.87598,,,,,,193.05038
2.88086,,,,,,193.46228
2.88574,,,,,,193.88249
2.89063,,,,,,194.11808
2.89551,,,,,,194.44598
2.90039,,,,,,194.77389
2.90527,,,,,,195.19472
2.91016,,,,,,195.52278
2.91504,,,,,,191.05602
2.91992,,,,,,191.37604
2.9248,,,,,,191.69607
2.92969,,,,,,192.0161
2.93457,,,,,,192.33612
2.93945,,,,,,192.65615
2.94434,,,,,,192.97618
2.94922,,,,,,193.2962
2.9541,,,,,,193.53817
2.95898,,,,,,193.85807
2.96387,,,,,,194.17796
2.96875,,,,,,194.66302
2.97363,,,,,,194.89634
2.97852,,,,,,195.21636
2.9834,,,,,,195.53639
2.98828,,,,,,195.85642
2.99316,,,,,,191.28018
2.99805,,,,,,191.59222
3.00293,,,,,,191.97526
