	Reference	Reference		Sample	Sample		Phase offset	Phase Diff
Frequency (THz)	Amplitude	Phase	Frequency (THz)	Amplitude	Phase
9.33333E11	0.0046	644.94632	9.33333E11	1.12979E-4	674.34787	29.40155	16.7133	12.68825
9.44444E11	0.00464	652.65781	9.44444E11	1.17199E-4	682.42109	29.76328	16.9122	12.85108
9.55556E11	0.00469	660.3698	9.55556E11	1.21481E-4	690.4954	30.1256	17.1112	13.0144
9.66667E11	0.00474	668.0823	9.66667E11	1.25808E-4	698.57074	30.48844	17.3102	13.17824
9.77778E11	0.00478	675.79531	9.77778E11	1.30162E-4	706.64702	30.85171	17.5091	13.34261
9.88889E11	0.00482	683.50884	9.88889E11	1.34527E-4	714.72417	31.21533	17.7081	13.50723
1E12	0.00487	691.22288	1E12	1.38884E-4	722.8021	31.57922	17.9071	13.67212
1.01111E12	0.00491	698.93743	1.01111E12	1.4322E-4	730.88072	31.94329	18.106	13.83729
1.02222E12	0.00495	706.65248	1.02222E12	1.47521E-4	738.95995	32.30747	18.305	14.00247
1.03333E12	0.00498	714.36802	1.03333E12	1.51775E-4	747.03972	32.67171	18.504	14.16771
1.04444E12	0.00502	722.08402	1.04444E12	1.55972E-4	755.11995	33.03593	18.7029	14.33303
1.05556E12	0.00505	729.80049	1.05556E12	1.60106E-4	763.20058	33.40009	18.9019	14.49819
1.06667E12	0.00508	737.5174	1.06667E12	1.6417E-4	771.28155	33.76415	19.1009	14.66325
1.07778E12	0.00511	745.23473	1.07778E12	1.68162E-4	779.36281	34.12808	19.2999	14.82818
1.08889E12	0.00514	752.95246	1.08889E12	1.72081E-4	787.44433	34.49187	19.4988	14.99307
1.1E12	0.00516	760.67058	1.1E12	1.75928E-4	795.52609	34.85551	19.6978	15.15771
1.11111E12	0.00519	768.38907	1.11111E12	1.79703E-4	803.60806	35.21899	19.8968	15.32219
1.12222E12	0.00521	776.10791	1.12222E12	1.83411E-4	811.69024	35.58233	20.0957	15.48663
1.13333E12	0.00522	783.82708	1.13333E12	1.87055E-4	819.77262	35.94555	20.2947	15.65085
1.14444E12	0.00524	791.54656	1.14444E12	1.9064E-4	827.85521	36.30865	20.4937	15.81495
1.15556E12	0.00525	799.26635	1.15556E12	1.9417E-4	835.93801	36.67166	20.6926	15.97906
1.16667E12	0.00526	806.98641	1.16667E12	1.97651E-4	844.02103	37.03462	20.8916	16.14302
1.17778E12	0.00527	814.70675	1.17778E12	2.01087E-4	852.10429	37.39754	21.0906	16.30694
1.18889E12	0.00528	822.42733	1.18889E12	2.04483E-4	860.18778	37.76045	21.2895	16.47095
1.2E12	0.00528	830.14816	1.2E12	2.07845E-4	868.27153	38.12337	21.4885	16.63487
1.21111E12	0.00528	837.86922	1.21111E12	2.11177E-4	876.35554	38.48633	21.6875	16.79883
1.22222E12	0.00528	845.59049	1.22222E12	2.14484E-4	884.43982	38.84933	21.8864	16.96293
1.23333E12	0.00528	853.31196	1.23333E12	2.17773E-4	892.52436	39.2124	22.0854	17.127
1.24444E12	0.00528	861.03364	1.24444E12	2.21048E-4	900.60918	39.57554	22.2844	17.29114
1.25556E12	0.00527	868.7555	1.25556E12	2.24316E-4	908.69426	39.93877	22.4833	17.45547
1.26667E12	0.00526	876.47754	1.26667E12	2.27585E-4	916.77963	40.30209	22.6823	17.61979
1.27778E12	0.00525	884.19975	1.27778E12	2.3086E-4	924.86526	40.66551	22.8813	17.78421
1.28889E12	0.00524	891.92214	1.28889E12	2.34151E-4	932.95118	41.02905	23.0802	17.94885
1.3E12	0.00523	899.64469	1.3E12	2.37465E-4	941.03739	41.3927	23.2792	18.1135
1.31111E12	0.00522	907.36741	1.31111E12	2.4081E-4	949.12391	41.7565	23.4782	18.2783
1.32222E12	0.0052	915.09031	1.32222E12	2.44193E-4	957.21075	42.12044	23.6771	18.44334
1.33333E12	0.00518	922.81337	1.33333E12	2.47621E-4	965.29793	42.48456	23.8761	18.60846
1.34444E12	0.00517	930.53662	1.34444E12	2.51099E-4	973.38549	42.84888	24.0751	18.77378
1.35556E12	0.00515	938.26004	1.35556E12	2.5463E-4	981.47346	43.21342	24.274	18.93942
1.36667E12	0.00513	945.98366	1.36667E12	2.58216E-4	989.56187	43.57822	24.473	19.10522
1.37778E12	0.00511	953.70747	1.37778E12	2.61856E-4	997.65076	43.94329	24.672	19.27129
1.38889E12	0.00509	961.43148	1.38889E12	2.65545E-4	1005.74016	44.30868	24.8709	19.43778
1.4E12	0.00506	969.1557	1.4E12	2.69276E-4	1013.8301	44.6744	25.0699	19.6045
1.41111E12	0.00504	976.88013	1.41111E12	2.73041E-4	1021.92061	45.04048	25.2689	19.77158
1.42222E12	0.00501	984.60478	1.42222E12	2.76826E-4	1030.01171	45.40692	25.4678	19.93912
1.43333E12	0.00499	992.32965	1.43333E12	2.80619E-4	1038.1034	45.77375	25.6668	20.10695
1.44444E12	0.00496	1000.05475	1.44444E12	2.84403E-4	1046.1957	46.14096	25.8658	20.27516
1.45556E12	0.00494	1007.78006	1.45556E12	2.88163E-4	1054.2886	46.50854	26.0647	20.44384
1.46667E12	0.00491	1015.50559	1.46667E12	2.91882E-4	1062.38207	46.87648	26.2637	20.61278
1.47778E12	0.00488	1023.23134	1.47778E12	2.95545E-4	1070.47609	47.24476	26.4627	20.78206
1.48889E12	0.00485	1030.95729	1.48889E12	2.99138E-4	1078.57063	47.61335	26.6616	20.95175
1.5E12	0.00482	1038.68344	1.5E12	3.0265E-4	1086.66565	47.98221	26.8606	21.12161
1.51111E12	0.00479	1046.40978	1.51111E12	3.06073E-4	1094.7611	48.35132	27.0596	21.29172
