time_ps,amplitude,stderr
1.055499999999996277e+02,1.987547169811321407e-04,5.658924697897449464e-06
1.055999999999996248e+02,2.218867924528302132e-04,6.307965680546712774e-06
1.056499999999996220e+02,2.123018867924528371e-04,6.107007390749834280e-06
1.056999999999996191e+02,1.734339622641509475e-04,8.466023625218456960e-06
1.057499999999996021e+02,8.494339622641509805e-05,6.997248866604861697e-06
1.057999999999996135e+02,-1.509433962264151268e-05,7.290067180428019133e-06
1.058499999999996106e+02,-1.378490566037735628e-04,8.021127150175623571e-06
1.058999999999996078e+02,-2.452830188679244782e-04,8.443744163105803253e-06
1.059499999999996049e+02,-3.372830188679244376e-04,7.544545645601813330e-06
1.059999999999996021e+02,-4.006415094339621659e-04,5.736289353732874352e-06
1.060499999999995993e+02,-4.350566037735850732e-04,5.080373244792215117e-06
1.060999999999995964e+02,-4.133962264150942037e-04,5.770645424034153948e-06
1.061499999999995936e+02,-3.670943396226415798e-04,6.732770511065758143e-06
1.061999999999995907e+02,-2.815094339622642265e-04,6.642989899397371597e-06
1.062499999999995879e+02,-1.879622641509434016e-04,7.342991042756737698e-06
1.062999999999995850e+02,-1.240377358490565927e-04,7.611142188537395820e-06
1.063499999999995822e+02,-6.920754716981132170e-05,7.890554239208942715e-06
1.063999999999995794e+02,-4.381132075471699458e-05,6.591852129093069263e-06
1.064499999999995765e+02,-2.184905660377357568e-05,7.150091860805220927e-06
1.064999999999995737e+02,-9.132075471698111692e-06,6.467820926486322306e-06
1.065499999999995708e+02,2.381132075471698617e-05,5.994007723499565503e-06
1.065999999999995538e+02,2.362264150943395817e-05,5.883176587565609365e-06
1.066499999999995651e+02,7.886792452830188602e-06,6.430262886970957596e-06
1.066999999999995623e+02,-3.267924528301886816e-05,5.397662665765973158e-06
1.067499999999995595e+02,-8.166037735849059325e-05,6.295836175433777823e-06
1.067999999999995566e+02,-1.470188679245283431e-04,4.874683808499781436e-06
1.068499999999995396e+02,-1.768679245283018829e-04,6.514328908030362614e-06
1.068999999999995509e+02,-2.041509433962264560e-04,5.842320907169788265e-06
1.069499999999995481e+02,-1.810188679245282751e-04,6.659842330642626307e-06
1.069999999999995453e+02,-1.745660377358490545e-04,5.639300977082096971e-06
1.070499999999995424e+02,-1.613962264150943667e-04,5.804353801176195858e-06
1.070999999999995254e+02,-1.399245283018868131e-04,5.087755987393453077e-06
1.071499999999995367e+02,-1.496981132075471800e-04,6.323293486520148922e-06
1.071999999999995339e+02,-1.202641509433962226e-04,6.641303113401009129e-06
1.072499999999995310e+02,-1.091698113207547580e-04,6.254239479143924385e-06
1.072999999999995282e+02,-7.637735849056601274e-05,6.482016441000332644e-06
1.073499999999995111e+02,-6.754716981132074854e-05,6.265660538591280452e-06
1.073999999999995225e+02,-5.486792452830187864e-05,5.497145622364806040e-06
1.074499999999995197e+02,-7.743396226415093155e-05,6.629143152385939154e-06
1.074999999999995168e+02,-1.096226415094339818e-04,6.276427298502600002e-06
1.075499999999995140e+02,-1.451698113207546979e-04,6.974792422259671873e-06
1.075999999999995111e+02,-1.487547169811320367e-04,6.677054627450241885e-06
1.076499999999995083e+02,-1.558867924528301811e-04,8.206729969178471008e-06
1.076999999999995055e+02,-1.419245283018868346e-04,7.908872633140365146e-06
1.077499999999995026e+02,-1.345660377358490580e-04,6.872355476829027890e-06
1.077999999999994998e+02,-1.269811320754716762e-04,6.636924369612669652e-06
1.078499999999994969e+02,-1.295094339622641639e-04,7.094521406819402251e-06
1.078999999999994941e+02,-1.188679245283019503e-04,7.536503676929628786e-06
1.079499999999994913e+02,-1.307924528301886201e-04,5.663983661914936427e-06
1.079999999999994884e+02,-1.366415094339622270e-04,6.331030472365770457e-06
1.080499999999994856e+02,-1.229433962264150459e-04,5.939916027753266706e-06
1.080999999999994827e+02,-9.743396226415094335e-05,5.616782399559647745e-06
1.081499999999994799e+02,-9.147169811320754744e-05,6.367000842782536121e-06
1.081999999999994628e+02,-1.012452830188679143e-04,6.531295292582925441e-06
1.082499999999994742e+02,-1.256603773584905786e-04,6.006223389055356373e-06
1.082999999999994714e+02,-1.523773584905659898e-04,8.119445886631746330e-06
1.083499999999994685e+02,-1.646037735849056698e-04,6.703736126296182695e-06
1.083999999999994657e+02,-1.735471698113207908e-04,6.219353688079392232e-06
1.084499999999994486e+02,-1.649811320754716783e-04,6.312751371604883838e-06
1.084999999999994600e+02,-1.570188679245283693e-04,4.798428199250889458e-06
1.085499999999994571e+02,-1.576981132075472118e-04,7.544980102421157276e-06
