freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
1.253918495297745128e+00,4.146458181306311025e-02,1.241469738456414174e+00,2.009352316685642653e-02,1.540843361829780322e+00,4.989100190125029394e-02,3.480327652545775141e+00,-3.772848882846012941e+01
1.274817136886041036e+00,4.244967853708201538e-02,1.237517118644961611e+00,1.948837723575341796e-02,1.531068822092044979e+00,4.823440088771126233e-02,3.420844869077703354e+00,-3.766407422391257853e+01
1.295715778474336721e+00,4.384287698655409127e-02,1.233710951711589843e+00,1.908354726800261594e-02,1.521678530596786594e+00,4.708716252408123859e-02,3.394226864289848322e+00,-3.760462912092655330e+01
1.316614420062632629e+00,4.480179308241700326e-02,1.229886688518616156e+00,1.878079716175377889e-02,1.512268548253256517e+00,4.619650485801835710e-02,3.383734852787396719e+00,-3.752190660394695243e+01
1.337513061650928092e+00,4.503102648531100149e-02,1.226050437002559779e+00,1.842734177480849153e-02,1.502860107149282198e+00,4.518570087159895499e-02,3.362231814693015242e+00,-3.741741785530096820e+01
1.358411703239223778e+00,4.471495804111844108e-02,1.222321085258568640e+00,1.796031794091080408e-02,1.493746262447146478e+00,4.390655063424606791e-02,3.318098946037433272e+00,-3.731331496940605064e+01
1.379310344827519685e+00,4.423702477685930584e-02,1.218809464809526233e+00,1.744937851026552925e-02,1.485192030698889276e+00,4.253493536671115738e-02,3.263896428737233624e+00,-3.723096138731285265e+01
1.400208986415815371e+00,4.387888906413145440e-02,1.215504677127939193e+00,1.702690982699994054e-02,1.477161704461638969e+00,4.139257706350819854e-02,3.224362971272751288e+00,-3.716952749317663773e+01
1.421107628004111278e+00,4.366638331716355542e-02,1.212278836822685779e+00,1.674074760168695053e-02,1.469339725577900602e+00,4.058890806023044556e-02,3.208949901895377543e+00,-3.710589267673579883e+01
1.442006269592406964e+00,4.343215451710428360e-02,1.209030501451078488e+00,1.649663692576159441e-02,1.461482614409185921e+00,3.988987442921983900e-02,3.200062173605703553e+00,-3.702125111393550583e+01
1.462904911180702650e+00,4.299887209531072507e-02,1.205791585435707525e+00,1.616371298655638888e-02,1.453672081890045487e+00,3.898013821717512956e-02,3.172400948640929030e+00,-3.692213031522148725e+01
1.483803552768998557e+00,4.232579712579870312e-02,1.202688171911003412e+00,1.570702030383759606e-02,1.446212128367806216e+00,3.778129507078290678e-02,3.118759211440916612e+00,-3.683378727480224768e+01
1.504702194357294243e+00,4.154062984385618884e-02,1.199816279465591107e+00,1.522683233007981335e-02,1.439327248047844954e+00,3.653880262864547812e-02,3.058675921508008599e+00,-3.677623727639193874e+01
