time_ps,amplitude,stderr
1.014999999999998579e+02,-3.273333333333333932e-04,9.291857959451614666e-06
1.015499999999998550e+02,-3.922380952380952906e-04,6.799427207085554330e-06
1.015999999999998522e+02,-4.733809523809522839e-04,8.307439524445961240e-06
1.016499999999998494e+02,-5.457619047619047953e-04,7.873202168449096539e-06
1.016999999999998465e+02,-6.011428571428571645e-04,7.350981502992457950e-06
1.017499999999998437e+02,-6.328095238095238781e-04,6.414290848730409624e-06
1.017999999999998408e+02,-6.407619047619047192e-04,6.642456851210418021e-06
1.018499999999998380e+02,-6.122380952380951629e-04,7.764154620161194871e-06
1.018999999999998352e+02,-5.547619047619045804e-04,6.288221859474988108e-06
1.019499999999998323e+02,-4.415714285714285943e-04,8.662096051262405523e-06
1.019999999999998295e+02,-3.251904761904762060e-04,9.878183094160917211e-06
1.020499999999998124e+02,-2.017619047619047820e-04,1.110743298369665882e-05
1.020999999999998238e+02,-9.004761904761904735e-05,1.047521382790388534e-05
1.021499999999998209e+02,-2.909523809523809369e-05,7.349765874979799436e-06
1.021999999999998181e+02,-1.342857142857143020e-05,8.130814183943250417e-06
1.022499999999998153e+02,-1.178571428571428429e-04,6.276108409443528733e-06
1.022999999999997982e+02,-2.870476190476191195e-04,8.297538933886145811e-06
1.023499999999998096e+02,-6.247142857142858443e-04,9.396728679713092178e-06
1.023999999999998067e+02,-1.021095238095238045e-03,9.704757787968744913e-06
1.024499999999998039e+02,-1.506047619047619097e-03,1.283816731914873125e-05
1.024999999999998010e+02,-2.000476190476190540e-03,1.237193985596396534e-05
1.025499999999997840e+02,-2.435619047619048006e-03,1.174835118363252321e-05
1.025999999999997954e+02,-2.661523809523810239e-03,1.230633366119016255e-05
1.026499999999997925e+02,-2.537523809523809827e-03,1.431232593177529042e-05
1.026999999999997897e+02,-2.021571428571427697e-03,1.741809934078016804e-05
1.027499999999997868e+02,-1.026857142857142942e-03,2.635172378215317122e-05
1.027999999999997698e+02,3.619999999999999629e-04,2.566600405541025827e-05
1.028499999999997812e+02,1.971999999999999361e-03,3.197511787726991405e-05
1.028999999999997783e+02,3.583904761904761673e-03,3.278307402869290579e-05
1.029499999999997755e+02,4.822904761904762624e-03,3.561161129281476987e-05
1.029999999999997726e+02,5.253809523809524311e-03,4.086473508789851747e-05
